Unnamed: 0,Title,Cleaned_Ingredients
19,Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,Strips of zest  from 1 medium orange; 2½ ounces fresh ginger; ¼ cup fresh lime juice; ½ cup roughly chopped cashews; 1 medium orange; ¼ cup Pickled Orange-Ginger Puree; 1 tablespoon roughly chopped tarragon; 1 tablespoon roughly chopped dill fronds
20,Kale and Pumpkin Falafels With Pickled Carrot Slaw,3 cup s  shredded kale; 1 clove garlic; 1  can chickpeas
21,Maple and Chile Roasted Squash With Quinoa Tabouli,1/4 cup roasted almonds; ½ cup  torn mint leaves; 60g  wild rocket  leaves; ⅔ cup  lemon juice; 1 clove garlic
22,Chhena Poda (Spiced Cheesecake),
23,Paneer,Juice of 2 lemons
24,Sloppy Joe Shirred Eggs With Spinach,1 medium carrot; 1  can  tomatoes; 3 garlic cloves; 8 ounces fresh spinach; 1 pound ground turkey; ½ cup R-Rated Onions
25,R-Rated Onions,4–5 l arge or 6–8 medium yellow or white onions
26,Miso-Squash Ramen,1  piece ginger; 2 garlic cloves; 1 large bunch broccolini
27,Spicy Coconut Pumpkin Soup,1 small onion; 3 garlic cloves; 2 tablespoons chopped fresh cilantro
28,Baigan Chokha,2 l arge Italian eggplants; ½ medium onion; 2 cloves garlic; 1 small tomato; 1 tablespoon coarsely chopped cilantro
29,Dad’s Curried Chicken,1  chicken
30,Trinidad Curry Powder,1 cup coriander seeds
31,Shrimp Creole,3 g arlic cloves; 2 large onions; 1 cup  celery; 1  can whole tomatoes; 1 bay leaf; 1½ pounds large shrimp
32,Green Seasoning,3 Tbsp . chopped fresh chives; 1 Tbsp. chopped fresh shado beni or cilantro leaves; 2 Tbsp. chopped fresh thyme; 1 Tbsp. chopped fresh oregano; 1 Tbsp. chopped fresh parsley; 4 cloves garlic
33,Chicken Pelau,1 cup dry or 1  can pigeon peas
34,Our Favorite Creamy Mashed Potatoes,4 pound s Yukon Gold potatoes
35,Remember the Alimony,Orange twist
36,Creole Cream Cheesecake With Caramel-Apple Topping,1 teaspoon vanilla bean paste; 4 cups peeled
37,Creole Cream Cheese,
38,Buss Up Shut (Paratha Roti),
39,Best Deviled Eggs,Garnishes: paprika and chopped fresh chives
40,Mango Curry,2 g reen
41,Iced Café de Olla,3 wide strips orange zest
42,Pumpkin Dutch Baby With Pumpkin Butter,¼ tsp . ground ginger; ½ cup apple cider or juice
43,Braised Chicken Legs With Grapes and Fennel,4 chicken legs; 2 medium fennel bulbs; 1 lb. Red Flame or green table grapes; 4 tsp. Calabrian chile paste or chopped Calabrian chiles
44,Old-Fashioned Scalloped Potatoes,2 cup s thinly  onion
45,Yogurt and Spice Roasted Salmon,500g skinless salmon fillet; 1 tablespoon garlic granules; Finely  zest of 1 unwaxed lime and a good squeeze of juice; Sliced tomatoes; Finely  onion; Coriander leaves
46,Pita,
47,Veselka's Famous Borscht,One 2-pound boneless pork butt; 1 bay leaf; 3 large carrots; 3 large celery stalks; 1 small head of green cabbage; 2 medium Idaho potatoes; One 15-ounce can lima beans
48,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,4 5–6-oz . skin-on red snapper fillets; ½ green or medium-ripe papaya
49,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),"4 oz . dried apricots; 1 medium white onion; 1 small red onion; 2 garlic cloves; 1 1"" piece ginger"
50,Summer Bean Soup With Tomato Brown Butter,8 oz .  dried beans
51,Tomato Brown Butter,1 l arge tomato
52,Maple-Roasted Acorn Squash,3 acorn squash
53,Coconut-Creamed Corn and Grains,1 serrano chile or jalapeño; 1  piece fresh ginger
54,Tomato and Roasted Garlic Pie,2½ pound s mixed heirloom tomatoes
55,Paneer With Burst Cherry Tomato Sauce,6 scallions; 1  piece ginger
56,Sesame-Scallion Chicken Salad,2 skinless; 3 scallions; 3 Persian cucumbers; 2 Tbsp. fresh lime juice; ¼ head of romaine or green or red leaf lettuce or 1 head of Little Gem lettuce; Big handful of cilantro leaves with tender stems; ½ lime
57,Maple Barbecue Grilled Chicken,3 g arlic cloves; 6 Tbsp. double-concentrated tomato paste; 1  whole chicken
58,Spiced Lamb and Dill Yogurt Pasta,3 cup s  dill fronds with tender stems; 3 garlic cloves; 1 lb. ground lamb; ½ lemon
59,Salt-and-Pepper Fish,8 scallions; 1  piece ginger
60,Salmon Burgers With Ginger and Quick-Pickled Cucumbers,1½ lb . boneless
61,Fish Tacos al Pastor,3 lb . skinless striped bass or halibut fillets; ½ cup fresh orange juice; 5 garlic cloves
62,Nut Butter Granola Bars,1¼ cup s dried fruit
63,Zucchini-Lentil Fritters With Lemony Yogurt,2 Tbsp . fresh lemon juice; 1 cup red lentils; 1 medium zucchini; ½ medium onion; 1 cup parsley leaves with tender stems; 1 Tbsp. finely  lemon zest
64,Fried Onions,2 cooking onions
65,Sour Cream and Onion Potato Salad,2 lb . baby Yukon Gold potatoes; 1 garlic clove; 1 bunch chives
66,Tropi-Cobb Salad,1 tsp . ground coriander; 6 garlic cloves; 4 skinless
67,Pork Meatballs and Cucumber Salad,2 lb . thin-skinned cucumbers  cut into bite-size pieces; 2 garlic cloves; 3 Tbsp.  parsley; 1 lb. ground pork; ½ small red onion; 2 cups tender herb leaves
68,Frozen Avocado Cake,8 whole graham crackers; 11 digestive biscuits or 4 additional graham crackers; 3 Hass avocados; 2 lemons; 2 limes
69,Chocolate Zucchini Cake,2 cup s  unpeeled zucchini; 3/4 cup chopped walnuts
70,Swiss Chard Pasta With Toasted Hazelnuts and Parmesan,4 clove s of garlic; 1 bunch Swiss chard
71,Sweet Corn Frittata With Cherry Tomato Compote,2 clove s of garlic; 2 cups cherry tomatoes; 8 to 10 fresh basil leaves; 1 bunch of scallions; 2 cloves of garlic; 1 medium potato; 2 cups fresh or thawed frozen corn kernels
72,Tomato Pie With Sour Cream Crust,2 teaspoons dried parsley; 1 large onion; 2¼ pounds mixed heirloom tomatoes; 3 tablespoons chopped basil leaves; 3 tablespoons chopped parsley; 1 teaspoon chopped thyme
73,Pork Chops and Padrón Chiles en Escabèche,"2 1–1½"" bone-in pork chops; 1 tsp. coriander seeds; 1 small red onion"
74,Doenjang Jjigae (된장찌개 / Fermented-Soybean Stew),¼ cup doenjang; 1 tablespoon gochujang; 1 tablespoon gochugaru; 6 garlic cloves; 2 medium onions; 2 medium green zucchini; ½ bunch scallions
75,"Dakgangjeong (닭강정 / Korean Sweet, Crunchy Fried Chicken)",2 ½ pound s chicken wingettes or dumettes or small pieces of chicken; ½ cup potato starch; ⅓ cup toasted peanuts; 3 garlic cloves; 1 teaspoon  peeled ginger
76,Spicy Pork Belly Sliders,1 medium onion; 1 cup gochujang; ¼ cup  garlic; 2 pounds skinless pork belly; 2 English cucumbers
77,Thai Muslim–Style Grilled Chicken,1 3½–4-lb . whole chicken; 6 garlic cloves; 2 cilantro roots
78,Fresh Fruit Tart With Almond Press-In Crust,
79,Coconut Rice,
80,Peach and Sesame Crumble,1 l emon; 2½ lb. peaches
81,Pear and Hazelnut Frangipane Tart,3 firm-ripe Bosc or Anjou pears; 1/4 cup apricot preserves
82,Melted Broccoli Pasta With Capers and Anchovies,2 head s  broccoli; 2 garlic cloves
83,Dashi,3 medium dried shiitake mushrooms
84,Ginger and Tamarind Refresher,8 oz fresh ginger
85,Sumac and Saffron Refresher,
86,Peanut Butter Brookies,
87,"Tacos de Gobernador (Shrimp, Poblano, and Cheese Tacos)",1 onion; 1 garlic clove; 8 corn tortillas; Juice of 3 limes; 1 slice bacon; 8 ounces peeled and deveined medium shrimp; 2 limes
88,Kimchi Toast,¾ cup kimchi; plus more for serving; 2 scallions; 1 cup cilantro leaves with tender stems; ½ lime
89,Buttered Tomatoes with Ginger,4 scallions; 1  piece ginger
90,Burst Cherry Tomato Pasta,6 g arlic cloves; 2½ lb. cherry tomatoes; 2 large sprigs basil
91,Salted PB&J; Ice Cream Pie,⅓ cup raw peanuts or other nut or seed
92,Farmers Market Farro Bowls,1 cup semi-pearled farro; 1 large watermelon radish or 6–8 red radishes
93,Fancy and Beautiful Tomato Salad,1½ lb . heirloom tomatoes
94,Chicken Thighs With Tomatoes and Feta,6 skin-on; 1¼ lb. cherry tomatoes; 3 sprigs oregano
95,Corn and Chickpea Bowls With Miso Tahini,2 small jalapeños
96,Stone Fruit Custard Tart,¾ tsp . ground ginger; ¾ tsp. finely  orange zest; 2½–3 lb. stone fruit
97,Plátanos Horneados con Crema y Queso (Baked Banana With Crema and Cheese),6 heirloom bananas or small plantains
98,Tamale Pie with Fresh Tomato and Corn,1/2 pound fresh chorizo
99,Charred-Peach Panzanella With Pickled Pepper Vinaigrette,2 g arlic cloves; 1½ lb. plum tomatoes; 8 oz. thick-cut bacon; 3 large slightly firm peaches
102,Instant Pot Bisibelabath,2 Tbsp .  unsweetened coconut ﬂakes; 1 ½ Tbsp.  coriander seeds; 1 onion; 1 cup  dried lentils
103,Tahini-Walnut Magic Shell,3 oz . white chocolate
104,Django Reinhardt,¾ oz . fresh lemon juice; 3 orange slices
105,Rosé All Day,½ oz . fresh lemon juice
106,Lentil Burgers,1 cup French green or brown lentils; ¼ tsp. finely  lemon zest; 1 Tbsp. fresh lemon juice; 2 garlic cloves
107,Nurse,Garnish: 1 cucumber wheel
108,Salad Ramen,¼ cup fresh lime juice; 5-6 cups shredded or shaved vegetables
109,Miso-Glazed Salmon With Sushi Rice,4  skin-on salmon fillets; 6 scallions; Lime wedges
110,Grilled Carrots With Avocado and Mint,3 Tbsp . fresh lemon juice; 1  piece ginger
111,Double Ripple Ice Cream Cake,8 oz . red or black plums
112,Tiger Fruit Salad,1 lb . underripe stone fruit
113,Grilled Pork Shoulder With Butter Vinegar Sauce,1 Tbsp . fennel seeds; 2 Tbsp. dried oregano; 2–2½-lb. boneless pork shoulder
114,No-Churn Almond and Raspberry Swirl Ice Cream,
115,No-Churn Fresh Mint and Chocolate Ice Cream,¾ cup coarsely chopped mint; 4 oz. bittersweet chocolate
116,Bibingkang Cassava (Cassava Cake),1 cup jarred macapuno coconut strings
117,Peach Cobbler,10 l arge peaches
118,Pajeon (파 전 / Scallion Pancakes),1 teaspoon doenjang; 2 teaspoons  garlic; 3 bunches scallions
119,Pajeon Sauce,1 tablespoon gochugaru; 2 garlic cloves; ¼ teaspoon  ginger
120,Shaak-no Sambharo (Quick Pickled Vegetables),⅓ cup julienned ginger
121,Gol-Keri (Quick Mango Achaar),¼ cup finely  red or white onions; 1 mango
122,Tortillas de Harina (Flour Tortillas),½ cup pork lard
123,Grilling Cheese With Sweet Peppers and Black Lentils,¾ cup black beluga lentils; ½ tsp. dried oregano; ¼ cup  basil leaves
124,Grilled Flatfish With Pistachio-Herb Sauce,10 prunes
125,Grilled Mushroom  Antipasto Salad,2 lb . assorted mushrooms
126,Brad’s Spoon Sauce,10 prunes
127,No-Churn Labneh and Lime Ice Cream With Granola,Zest and juice of 2 limes
128,Grilled Eggplant With Garlicky Tahini-Yogurt Sauce,2 lb . assorted small eggplant; 2 heads of garlic; 1 lemon
129,Grilled Potatoes With Red Miso Butter,1½ lb . baby Yukon Gold potatoes; 1 garlic clove; 2 Tbsp. chopped parsley
130,Cooler-Steamed Corn,6 ears of corn
131,Honey-Glazed Pepper Chicken,1  whole chicken
132,Pork Shoulder Steaks With Horseradish-Mustard Sauce,2 Tbsp . finely  peeled horseradish or 1 Tbsp.  drained prepared horseradish; 1 Tbsp. ground coriander; 4  pork shoulder steaks; 2 Tbsp. finely  peeled horseradish or 1 Tbsp.  drained prepared horseradish
133,Speedy Summer Gazpacho,1 cucumber; 6 medium tomatoes; ½ oz basil leaves; 1 celery stalk; 2 garlic cloves; Juice of 1 lemon
134,Black-Eyed Pea Burgers With Creamy Barbecue Sauce and Chowchow,2 scallions; 2 large crimini or button mushrooms; 1 small Scotch bonnet or habanero chile
135,Chowchow,1 small green cabbage
136,Creole Caesar Salad With Corn Bread Croutons,2 cup s Fried Okra; 2 heads romaine lettuce; 1 cup cooked fresh corn kernels; ½ cup  grape tomatoes; ½ cup  seedless cucumber; ¼ cup  red onion; 3 garlic cloves; 2 tablespoons chopped onion; 1 tablespoon  celery
137,Jerk Potato Salad,"Zest and juice of 2 limes; 2 habanero chiles; 1 2""-piece ginger"
138,Grilled Peach Toast With Pimiento Cheese,2 firm-ripe peaches; 1 medium-size ripe avocado; 1⁄4 cup thinly  red radishes; 1 bunch watercress
139,Homestyle Dosas with Tomato Chutney,1 small onion; 2–3 small green chiles
140,Shimbra Wat (Chickpeas With Spicy Flaxseed Paste),14 oz cooked or canned chickpeas
141,Infinity Pool,2¼ teaspoons celery bitters; 1⅓ cups fresh celery juice; 1 cup fresh lemon juice
142,Division Bell,¾ oz . fresh lime juice; 1 grapefruit twist
143,Mezcal Mule,½ oz . fresh lime juice; ½ oz. fresh ginger juice
144,Electron,¾ oz . fresh lime juice; ¾ oz. fresh fresh carrot juice; 2 dashes Regan’s Orange Bitters
145,Killer Bee,1 1⁄2 ounces freshly squeezed lemon juice
146,La Pina,5 or 6 fresh cilantro leaves; 1 oz. [30 ml] fresh pineapple juice; 1/2 oz. [15 ml] fresh lime juice; 1 pineapple leaf for garnish
147,Arinato,1½ oz . mezcal; Grapefruit twist for garnish
148,Ti' Punch,1 l ime
149,Royal Dock Cooler,200 milliliters  grapefruit juice; Garnish: Lime wheels
150,Jungle Bird,1 ½ oz . freshly squeezed pineapple juice; ½ oz. freshly squeezed lime juice; Garnish: pineapple chunk and/or pineapple leaf
151,Savory Gruyère Bread With Ham,1 cup coarsely chopped ham; 3 tablespoons thinly  scallions; 1 tablespoon chopped fresh thyme leaves
152,Grilled Cauliflower Wedges With Herb Tarator,2 g arlic cloves; 1 cup chopped dill; ½ cup mint leaves; ⅓ cup fresh lemon juice; 1 small cauliflower; ½ tsp. ground coriander; Handful of tender herbs
153,Open-Face Mushroom Sandwiches With Pecorino Salsa Verde,3 medium shallots
154,Hickory-Smoked Baby Back Ribs,6 racks baby back ribs; 3⁄4 cup  apple cider; 1⁄2 tsp   garlic
155,Grilled Watermelon Salad With Lime Mango Dressing and Cornbread Croutons,½ cup coarsely chopped ripe mango; ¼ cup fresh lime juice; 3 pounds seedless watermelon
156,Fried Plantain Chips With Lime Sour Cream and Mango Hot Sauce,4 medium shallots; 3 Scotch Bonnet chiles
157,Mississippi Corn Pudding,¼ cup chopped yellow onion; ½ cup chopped celery; 1 pound fresh corn kernels
158,Black-Eyed Pea Salad With Hot Sauce Vinaigrette,2 g arlic cloves; 1  can black-eyed peas; 2 mini cucumbers; ½ sweet onion; 1 pint cherry tomatoes or grape tomatoes; ¼ cup picked fresh dill
159,"Caribbean Smothered Chicken With Coconut, Lime, and Chiles",4 l arge bone-in; 6 large sprigs thyme; 2 large onions; 2 garlic cloves; Zest and juice of 1 large lime
160,Watermelon Salad With Radishes and Mint,1 bunch red radishes; ½ red onion; 4½ pounds watermelon
161,Classic BBQ Baked Beans,¼ pound thick-cut bacon; ½ large onion; 3 16-ounce cans kidney beans
162,Icebox Lemon Pie With Meringue,Juice of 3 lemons
163,Frogmore Stew,1 cup chopped celery; 1 cup chopped onions; ½ cup whole peeled garlic cloves; 1 pound small red potatoes
164,Very Red Velvet Cake With Cream Cheese Icing and Pecans,1 cup chopped pecans
165,Strawberry Balsamic Shortcakes,Mint or basil for topping
166,Dad's Peach Cobbler,3½ pound s fresh peaches
167,Strawberry Coconut Cake,¾ cup sweetened coconut flakes
168,Sorrel (Hibiscus) Tea,1⁄3 cup peeled fresh ginger slices; ¼ cup  orange zest; Grated zest and juice of 1 lemon; Mint leaves
169,Tea Cakes,
170,Strawberry-Rhubarb Crisp,4 cup s 1-inch pieces peeled rhubarb
171,Pulled Pork Sandwiches,1 tablespoon dried oregano; 1 bone-in pork roast; 1 onion; 3 garlic cloves
172,New Age Church Punch,One 2-pound whole pineapple; ½ teaspoon ground ginger; 1 cup fresh lime juice; 3 scoops lime sorbet
173,Fried Green Tomatoes,2 l arge green tomatoes
174,White Russian,
175,Roasted Strawberry Layer Cake,Zest of 1 lemon; 2 tsp  vanilla bean paste
176,Jerk Baby Back Ribs With Pineapple Salsa,1 l arge red onion; 1 jalapeño chile; Two 6 oz.  cans pineapple juice; ½ pineapple; 1 small red onion; 3 small jalapeño chiles; ⅓ cup  chopped fresh cilantro; Juice of 1 lime; Two 2-lb  racks baby back ribs
177,Habanero BBQ Shrimp,1 cup apricot preserves; Juice of 2 limes; 2 small garlic cloves; 1 teaspoon  fresh ginger; 2 pounds extra-large shrimp
178,Cornbread Muffins With Whipped Sweet Corn,6 pitted Medjool dates; ¼ cup finely  white onion; 2 cups fresh corn kernels; Fresh lemon juice
179,Apple and Kohlrabi Coleslaw,1 cup shredded napa cabbage; 1 cup shredded red cabbage; 2 cups Granny Smith  matchsticks; ⅓ cup  fresh parsley; ¼ cup fresh lime juice
180,Lemony Glazed Yogurt Doughnuts,Zest of ¼ lemon
181,Trail Mix Cookies,¾ cup chopped bittersweetchocolate bars or chips or disks
182,Ranch Fun Dip,2 tsp . dried dill
183,Whole Wheat–Oat Waffles,1 l emon
184,Salted Pistachio Crumbles With Berries and Ice Cream,1 Tbsp . fresh lemon juice
185,Grilled Pork Shoulder Steaks With Herb Salad,4 medium shallots
186,Crispy Turmeric-and-Pepper-Spiced Chicken Wings,4 lb . chicken wings; 1  piece ginger
187,Flatbread With Avocado and Scallion Salsa,2 tsp . coriander seeds; 8 scallions; 1 red or green chile; 1 cup  parsley; 1 lemon; 4 medium avocados
188,Charred Peppers With Lemon Ricotta and Cucumbers,1 l emon; 6 medium Persian cucumbers; 1 cup mint leaves
189,Radishes With Crème Fraîche and Furikake,½ l emon; 1½ lb. mixed radishes
190,Summer Tomato and Ricotta Tart With Oat Pastry,2 teaspoons finely  lemon zest; 400g  heirloom tomatoes; ½ cup  small basil leaves
191,Fruit Galette,3 cup s  fruit  and/or fresh or frozen berries
192,Savory Zucchini Beer Bread,2 medium zucchini or yellow squash; 2 scallions
193,Khara Huggi or Pongal,1⁄3 cup moong dal or red lentils; 1 teaspoon peeled; 1⁄4 cup dried unsweetened shredded coconut
194,Jalapeño Pepper Jelly,½ cup coarsely chopped seeded jalapeños
195,Win Son Bakery's Red Date Cake,6 oz . pitted dried red dates; 4 whole pitted dried red dates
196,Kong Jaban (Korean Sweet Black Beans),1¼ cup s dried black beans
197,Agua de Limón con Chía (Limeade With Chia Seeds),3 l arge limes
198,Lágrimas de la Virgen (Beet Cooler With Fruits),1 small apple; 1 banana; 1 small orange; 4 leaves romaine lettuce; Juice of 1 lime
199,"Guava, Grapefruit, and Rosemary Agua Fresca (Agua fresca de guayaba, toronja y romero)",Juice of 3 grapefruits; Leaves from 1 sprig fresh rosemary
200,Aguas Frescas (Mexican Fruit Coolers),4 cup s chopped fruit; Lemon or lime wedges
201,Grilled Pizza,1 pint cherry tomatoes; 3 garlic cloves; 1 tsp. dried oregano; 1 bunch Swiss chard; 1 garlic clove; 1 lemon; 1  can whole peeled tomatoes; Rosemary Agrodolce; Basil leaves
202,Rosemary Agrodolce,1 Tbsp .  rosemary; ¼ red onion
203,Spring Chicken Dinner Salad,2 l arge skinless; 1 lemon; 8 oz. green beans; 1 large head of Bibb lettuce; 1 small bunch chives; 1 cup basil leaves; 1 bunch radishes
204,Pork and Asparagus Stir-Fry,2 lb . asparagus
205,Ramen Noodles With Spring Onions and Garlic Crisp,1 bunch spring onions or scallions
206,Shrimp Ramp-y,3 g arlic cloves; 1¼ lb. large shrimp
207,Green-Garlic-Rubbed Buttery Roast Chicken,1  whole chicken; 8 green garlic stalks
208,Scallion Pancakes With Chili-Ginger Dipping Sauce,1  piece ginger
209,Camouflage Chocolate Fudge Brownies,
210,Sour Cream and Onion Biscuits,8 scallions
211,Salty Buckwheat Chocolate Chunk Cookies,coarsely chopped
212,Hanky Panky Cocktail,Strip of orange peel
213,Avocado and Lemon Water (Agua de Aguacate y Limón Amarillo),1 avocado; ½ cup  lemon juice or lime juice
214,Cinnamon-Date Sticky Buns,1 cup Medjool dates
215,Grilled Coconut Shrimp With Shishito Peppers,6 g arlic cloves; 1 Tbsp. finely  lime zest; 1 lb. large shrimp
216,"Mochi Cake, Any Way You Want It",¼–⅓ cup unsweetened shredded coconut or sesame seeds
217,Triple-Threat Onion Galette,1 l arge onion; 8 garlic cloves; 12 scallions
218,Shockingly Easy No-Knead Focaccia,2-4 g arlic cloves
219,Tahini Billionaire Bars,6 oz . bittersweet chocolate
220,Frozen Gin and Tonic,1 cucumber slice (optional
221,Red Hook Criterium,1½ ounce s freshly squeezed grapefruit juice; ½ ounce freshly squeezed lemon juice; Garnish: grapefruit twist
222,Coconut Shrimp Tacos With Mango Salsa and Avocado Cilantro Sauce,1 cup unsweetened shredded coconut; 1 pound medium wild shrimp
224,Chipotle Chicken and Cauliflower Tacos,2 clove s garlic; 500g  chicken thigh fillets; 500g  cauliflower florets; 12 small corn tortillas; 3⅓ cups  finely shredded purple cabbage; 1 cup  cilantro sprigs; Pickled red onions; Lime wedges; 1½ tablespoons lime juice
225,Instant Pot Ginger-Lime Baby Back Ribs,3 tablespoons fresh lime juice; 2 to 2½-pound rack baby back ribs; 2 tablespoons  fresh ginger; 3 cloves garlic; 1 teaspoon  lime zest; ¼ cup  green onion; ½ pound green or red cabbage; Juice of ½ lime
226,Cashew Horchata (Horchata de Nuez de la India),
227,Orange Chocolate Loaf Cake From Florida,Finely  zest of 1 large; 1/3 cup orange juice
228,Whipped Cream Cake,
229,Broccoli and Spam Stir-Fry,1 g arlic clove; 1 Tbsp.  mint or cilantro; 1 large or 2 small heads of broccoli; 1 Tbsp. finely  peeled ginger; 2 shallots
230,Cosmonaut,¾ ounce lemon juice; 1 bar spoon raspberry preserves
231,Creamy Ginger Dressing,1 teaspoon finely  lemon zest; 2 tablespoons fresh lemon juice; 2 tablespoons  fresh ginger; 1/2 teaspoon  garlic
232,Syrniki (Сырники / Farmer’s Cheese Pancakes),
233,Charred Leeks With Honey and Vinegar,4 medium leeks
234,Cardamom-Pistachio Carrot Cake,3 medium carrots; ½ cup carrot juice
235,Cacao Water (Agua de Cacao),1 cup cacao beans; 5 cups  fresh coconut water or good-quality bottled coconut water
236,Rosita,Garnish: 1 orange twist
237,Say Anything,4 jalapeños; 2 cups cubed seedless watermelon; 1 oz jalapeño-infused Siembra Valles Blanco Tequila; ¾ oz lime juice; 5 to 7 mint leaves; Lime wheel for garnish
238,Tropic Like It's Hot,1 ½ ounce s pineapple juice; ¾ ounce freshly squeezed lemon juice; 2 dashes of orange bitters; Pineapple slice
239,Sourdough Crepes,
240,Enjoying a Margarita in Venezia,1 ounce lime juice; ½ ounce orange juice; Orange twist to garnish
241,Cucumber Cilantro Margarita,4 thin slices cucumber; 2 sprigs fresh cilantro; 1 ounce  fresh lime juice
242,Retox Cocktail,2 or 3 slices fresh jalapeño; ½ oz. fresh lemon juice
243,Hawaij,2 1/4 teaspoons coriander seeds
244,Tie-Dye Butter Cookies,
245,Ancho Mole Cookies,¾ cup dried fruit
246,Mashed Plantains With Fried Eggs (Mangú de Plátanos),½ red onion; 1 avocado
247,Golden Noodles With Chicken,4 shallots; 2 bone-in; One 2-inch piece of ginger
248,Butter Pecan Skillet Cookies,1⅓ cup s  chopped pecans
249,Spring Green Bowls,1 cup flat-leaf parsley leaves; 1 cup  mint leaves; ¼ cup  lemon juice; 2 green onions; ½ small clove garlic; 600g  broccoli florets; 1 cup  frozen shelled edamame beans; 2 small avocados; ¼ cup  store-bought pickled ginger
250,Sausage and Ricotta Baked Cannelloni,2 bunch es green Swiss chard; 1 lb. sweet Italian sausage
251,Okra Fries,1 pound okra
252,Sweet Pickle Potato Salad,1 pound small red potatoes; ½ cup  onion;
253,Cheesy Chicken Melt With All of the Onions Relish,2 boneless
254,Chicken Spiedies (Marinated Chicken on a Bun),1⁄4 cup  freshly squeezed lemon juice; 2 garlic cloves; 2 sprigs fresh mint; 2 sprigs fresh dill; 1⁄2 teaspoon dried oregano; 1 1⁄2 pounds  boneless
255,Seed and Nut Bread,¾ cup roughly chopped almonds
256,Pasta With Broccoli and Lemon Cashew-Cream Sauce,¼ cup lemon juice; 300g  broccoli florets; ½ cup  small basil leaves; 1 tablespoon finely shredded lemon rind
257,Coconut-Lime Energy Bites,1 cup pitted dates; 1 cup unsweetened shredded coconut or coconut flakes; Zest and juice of 2 limes
258,Satay Lettuce Wraps,⅓ cup plus 1 tablespoon coconut aminos; 1 pound chicken or turkey breast; 1 cup  broccoli; 1 cup chopped purple cabbage; 1 cup shredded carrots; 8 green onions; ½ cup chopped jicama; ½ cup chopped celery; 4 to 6 lettuce leaves
259,Sweet Potato and Pecan Waffles,1 medium sweet potato
260,Instant Pot Lemon Chicken With Garlic and Olives,2 pound s bone-in
261,Instant Pot Lemon Vanilla Rice Pudding With Whipped Cream,1 teaspoon finely  lemon zest; 1/2 vanilla bean
262,"Instant Pot Middle Eastern Lentils With Rice, Leeks, and Spinach",2 l arge or 3 small leeks; 2 garlic cloves; 1 cup brown or green lentils; 1 bay leaf; 5 ounces baby spinach
263,Beans and Greens Polenta Bake,6 g arlic cloves; 1  can white beans; 1 bunch curly or Tuscan kale or escarole
264,Pantry Dinner Salad With Polenta Croutons,½ red onion or 1 shallot; 1  cup thinly  raw crunchy vegetables; 1 cup olives
265,Big-Batch Parmesan Polenta,
266,Backyard Citrus Upside-Down Cake,2 l arge unwaxed lemons
267,Sourdough Biscuits,
268,"Carrot Ribbon Salad With Ginger, Parsley, and Dates",1 pound medium carrots; 2 tablespoons fresh lemon juice; 1 teaspoon  peeled fresh ginger; ⅓ cup  fresh flat-leaf parsley; 6 large Medjool dates
269,"Sumac, Spelt, and Apple Cake",2 l arge Granny Smith or Bramley apples
